Epoch,Loss_D,Loss_G,PSNR,SSIM,Score_D,Score_G
1,0.9643060546863579,0.015317435107322154,21.13489331653956,0.6082400915552588,0.6727435723892943,0.6310910986008089
2,1.0023201011040968,0.010402577800486616,21.304062646309,0.6361166218449088,0.1870230909101219,0.18584766732077088
3,0.9998850720228549,0.009500459818961377,22.724860547664292,0.6474313515775344,0.026511232870558423,0.027151870025533757
4,1.00076703965307,0.009063184223288369,22.356959341463632,0.6661567628383637,0.21269570304248148,0.21449952596140479
5,1.0018135937673602,0.008333678263836278,23.06715331949988,0.6747978027427898,0.6942511049287762,0.6949926748104438
6,1.0008494486494692,0.007876326800463442,23.21869416160792,0.6767140039275674,0.8733016215541406,0.8750910968123796
7,1.000000397116838,0.007630413493174993,22.873527879248414,0.6765047943592072,0.9999912621589477,0.9999916706970352
8,1.0000003588842061,0.007522783330390732,23.117603261860623,0.6781868743896484,0.999993330375877,0.9999937025087322
9,1.0000001940613021,0.007458922479658605,23.056195411288066,0.674993458775913,0.9999951929817656,0.9999953920684175
10,1.0000001465917348,0.00736845316421129,23.331817827885033,0.6816093014969545,0.9999961219005242,0.999996274417032
