Epoch,Loss_D,Loss_G,PSNR,SSIM,Score_D,Score_G
1,0.9231345727200994,0.01538144405864313,20.374414535981646,0.621580528792213,0.6404286232251607,0.5489567582398475
2,1.0000663626265383,0.010308365004728298,20.376061141623893,0.6394755243553835,0.6582302195726041,0.6588663986057578
3,1.0052892128150621,0.009168738459577103,22.17125748100105,0.6522189223065096,0.6950514571966525,0.6970398571676837
4,1.0036491117648736,0.00843277924945076,22.571975904570145,0.6594678128466887,0.9336413914571979,0.9372836015895455
5,1.0,0.008114659330935893,22.416262913397954,0.6631555632282706,1.0,1.0
6,1.0,0.008126216293452029,22.80475663541121,0.6640257472150466,1.0,1.0
7,1.0,0.007657811750663433,23.079239579873068,0.6755788360623752,1.0,1.0
8,1.0,0.0075448642345424186,23.078916380702896,0.6782001906983992,1.0,1.0
9,1.0,0.0074350546814590515,23.177499778299975,0.6811437870474423,1.0,1.0
10,1.0,0.007437735995846594,23.22721158905796,0.6859185488083783,1.0,1.0
